Unnamed: 0,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials,Score,GoalDifference,HomeWin
221,1970,11 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Bulgaria,1.0,1.0,Morocco, ,12299.0,1.0,0.0,BUL,MAR,1.0 - 1.0,0.0,False
222,1970,11 Jun 1970 - 16:00 ,Group 3,Jalisco,Guadalajara ,England,1.0,0.0,Czechoslovakia, ,49292.0,0.0,0.0,ENG,TCH,1.0 - 0.0,1.0,True
223,1970,11 Jun 1970 - 16:00 ,Group 1,Estadio Azteca,Mexico City ,Mexico,1.0,0.0,Belgium, ,108192.0,1.0,0.0,MEX,BEL,1.0 - 0.0,1.0,True
224,1970,14 Jun 1970 - 12:00 ,Quarter-finals,Luis Dosal,Toluca ,Italy,4.0,1.0,Mexico, ,26851.0,1.0,1.0,ITA,MEX,4.0 - 1.0,3.0,True
225,1970,14 Jun 1970 - 12:00 ,Quarter-finals,Nou Camp - Estadio Le�n,Leon ,Germany FR,3.0,2.0,England,Germany FR win after extra time ,23357.0,0.0,0.0,FRG,ENG,3.0 - 2.0,1.0,True
226,1970,14 Jun 1970 - 12:00 ,Quarter-finals,Jalisco,Guadalajara ,Brazil,4.0,2.0,Peru, ,54233.0,2.0,1.0,BRA,PER,4.0 - 2.0,2.0,True
227,1970,14 Jun 1970 - 12:00 ,Quarter-finals,Estadio Azteca,Mexico City ,Uruguay,1.0,0.0,Soviet Union,Uruguay win after extra time ,26085.0,0.0,0.0,URU,URS,1.0 - 0.0,1.0,True
228,1970,17 Jun 1970 - 16:00 ,Semi-finals,Jalisco,Guadalajara ,Brazil,3.0,1.0,Uruguay, ,51261.0,1.0,1.0,BRA,URU,3.0 - 1.0,2.0,True
229,1970,17 June 1970 - 16:00 ,Semi-finals,Estadio Azteca,Mexico City ,Italy,4.0,3.0,Germany FR,Italy win after extra time ,102444.0,0.0,0.0,ITA,FRG,4.0 - 3.0,1.0,True
230,1970,20 Jun 1970 - 16:00 ,Match for third place,Estadio Azteca,Mexico City ,Germany FR,1.0,0.0,Uruguay, ,104403.0,1.0,0.0,FRG,URU,1.0 - 0.0,1.0,True
